County_subdivision,Total_population,NonHispanic_White,NonHispanic_Black,Hispanic,NonHispanic_AIAN,NonHispanic_Asian,NonHispanic_NHPI,NonHispanic_Some_Other_Race,NonHispanic_Two_Or_More_Races,Nonwhite
Adamstown borough,1916,1686,30,74,1,50,4,3,68,230
Akron borough,4152,3570,92,279,10,56,0,10,135,582
Bart township,3181,3033,12,71,0,6,0,14,45,148
Brecknock township,7557,7001,52,211,7,110,5,26,145,556
Caernarvon township,4609,4404,18,74,4,13,4,4,88,205
Christiana borough,1112,951,27,72,0,4,0,9,49,161
Clay township,6857,6219,94,240,1,150,3,28,122,638
Colerain township,3883,3681,19,88,11,14,0,2,68,202
Columbia borough,10207,7285,599,1798,20,75,0,56,374,2922
Conestoga township,3914,3589,17,144,9,25,0,8,122,325
Conoy township,3361,3111,29,120,9,3,0,5,84,250
Denver borough,3792,3284,45,255,1,87,1,8,111,508
Drumore township,2561,2461,7,44,1,6,0,6,36,100
Earl township,7144,6682,38,251,0,73,4,9,87,462
East Cocalico township,10767,9817,85,351,10,234,0,13,257,950
East Donegal township,8684,7569,225,493,1,64,2,41,289,1115
East Drumore township,3936,3719,20,108,0,1,0,14,74,217
East Earl township,6699,6244,61,211,16,81,1,11,74,455
East Hempfield township,26304,20591,881,2663,18,1328,0,89,734,5713
East Lampeter township,17776,13039,1005,2356,26,780,9,57,504,4737
East Petersburg borough,4573,3638,184,505,3,60,0,30,153,935
Eden township,2239,2149,4,39,2,5,0,6,34,90
Elizabeth township,3985,3719,20,98,0,33,0,26,89,266
Elizabethtown borough,11639,10029,264,679,6,215,3,43,400,1610
Ephrata borough,13794,11668,185,1197,32,172,4,41,495,2126
Ephrata township,10386,9159,173,563,9,233,3,20,226,1227
Fulton township,3214,2941,31,135,4,6,0,12,85,273
Lancaster city,58039,22656,7355,23341,65,2217,10,300,2095,35383
Lancaster township,18642,9773,1935,5331,29,854,3,87,630,8869
Leacock township,5652,5379,18,155,4,29,4,8,55,273
Lititz borough,9381,8223,167,561,3,157,2,41,227,1158
Little Britain township,4118,3823,32,171,0,7,1,9,75,295
Manheim borough,5046,4292,73,417,12,61,0,21,170,754
Manheim township,43977,33786,1583,4068,30,2998,3,188,1321,10191
Manor township,21849,17076,762,2467,16,757,4,105,662,4773
Marietta borough,2623,2298,66,149,3,9,0,5,93,325
Martic township,5221,4854,20,160,15,15,0,11,146,367
Millersville borough,7903,6183,464,716,9,271,1,22,237,1720
Mount Joy borough,8325,6947,224,796,10,95,2,8,243,1378
Mount Joy township,10721,9559,138,516,11,146,0,33,318,1162
Mountville borough,3017,2364,140,314,12,78,2,15,92,653
New Holland borough,5743,4567,156,624,11,163,0,30,192,1176
Paradise township,5672,5134,93,301,0,18,0,0,126,538
Penn township,10210,9201,115,427,0,176,13,21,257,1009
Pequea township,5474,4675,136,420,3,54,1,31,154,799
Providence township,6995,6478,50,239,18,8,2,7,193,517
Quarryville borough,2843,2400,49,270,2,23,0,4,95,443
Rapho township,12024,11072,139,383,7,160,0,31,232,952
Sadsbury township,3536,3312,31,76,0,3,0,18,96,224
Salisbury township,11494,10685,128,405,5,59,1,33,178,809
Strasburg borough,3117,2737,43,173,1,45,0,9,109,380
Strasburg township,4457,4214,17,117,1,22,0,18,68,243
Terre Hill borough,1357,1236,20,58,1,8,1,6,27,121
Upper Leacock township,8921,7273,223,902,6,309,0,30,178,1648
Warwick township,19022,17121,213,850,3,267,4,86,478,1901
West Cocalico township,7456,6990,57,229,7,37,1,13,122,466
West Donegal township,8944,8253,108,283,0,79,2,28,191,691
West Earl township,8560,7561,98,421,10,210,2,16,242,999
West Hempfield township,17020,13742,433,1803,10,445,3,46,538,3278
West Lampeter township,17383,15510,233,909,17,275,5,51,383,1873
