NAME,P0010001
Adamstown borough,1916
Akron borough,4152
Bart township,3181
Brecknock township,7557
Caernarvon township,4609
Christiana borough,1112
Clay township,6857
Colerain township,3883
Columbia borough,10207
Conestoga township,3914
Conoy township,3361
Denver borough,3792
Drumore township,2561
Earl township,7144
East Cocalico township,10767
East Donegal township,8684
East Drumore township,3936
East Earl township,6699
East Hempfield township,26304
East Lampeter township,17776
East Petersburg borough,4573
Eden township,2239
Elizabeth township,3985
Elizabethtown borough,11639
Ephrata borough,13794
Ephrata township,10386
Fulton township,3214
Lancaster city,58039
Lancaster township,18642
Leacock township,5652
Lititz borough,9381
Little Britain township,4118
Manheim borough,5046
Manheim township,43977
Manor township,21849
Marietta borough,2623
Martic township,5221
Millersville borough,7903
Mount Joy borough,8325
Mount Joy township,10721
Mountville borough,3017
New Holland borough,5743
Paradise township,5672
Penn township,10210
Pequea township,5474
Providence township,6995
Quarryville borough,2843
Rapho township,12024
Sadsbury township,3536
Salisbury township,11494
Strasburg borough,3117
Strasburg township,4457
Terre Hill borough,1357
Upper Leacock township,8921
Warwick township,19022
West Cocalico township,7456
West Donegal township,8944
West Earl township,8560
West Hempfield township,17020
West Lampeter township,17383
