County_subdivision,Total_population,NonHispanic_White_percentage,NonHispanic_Black_percentage,Hispanic_percentage,NonHispanic_AIAN_percentage,NonHispanic_Asian_percentage,NonHispanic_NHPI_percentage,NonHispanic_Some_Other_Race_percentage,NonHispanic_Two_Or_More_Races_percentage,Nonwhite_percentage
Adamstown borough,1916,88,1.6,40.5,0.1,2.6,0.2,0.2,3.5,12
Akron borough,4152,86,2.2,33,0.2,1.3,0,0.2,3.3,14
Bart township,3181,95.3,0.4,16.9,0,0.2,0,0.4,1.4,4.700000000000003
Brecknock township,7557,92.6,0.7,24.6,0.1,1.5,0.1,0.3,1.9,7.400000000000006
Caernarvon township,4609,95.6,0.4,24.3,0.1,0.3,0.1,0.1,1.9,4.400000000000006
Christiana borough,1112,85.5,2.4,37.5,0,0.4,0,0.8,4.4,14.5
Clay township,6857,90.7,1.4,39.2,0,2.2,0,0.4,1.8,9.299999999999997
Colerain township,3883,94.8,0.5,21.6,0.3,0.4,0,0.1,1.8,5.200000000000003
Columbia borough,10207,71.4,5.9,33.3,0.2,0.7,0,0.5,3.7,28.599999999999994
Conestoga township,3914,91.7,0.4,11.8,0.2,0.6,0,0.2,3.1,8.299999999999997
Conoy township,3361,92.6,0.9,24.2,0.3,0.1,0,0.1,2.5,7.400000000000006
Denver borough,3792,86.6,1.2,17.6,0,2.3,0,0.2,2.9,13.400000000000006
Drumore township,2561,96.1,0.3,15.9,0,0.2,0,0.2,1.4,3.9000000000000057
Earl township,7144,93.5,0.5,15.1,0,1,0.1,0.1,1.2,6.5
East Cocalico township,10767,91.2,0.8,24.2,0.1,2.2,0,0.1,2.4,8.799999999999997
East Donegal township,8684,87.2,2.6,45.6,0,0.7,0,0.5,3.3,12.799999999999997
East Drumore township,3936,94.5,0.5,18.5,0,0,0,0.4,1.9,5.5
East Earl township,6699,93.2,0.9,28.9,0.2,1.2,0,0.2,1.1,6.799999999999997
East Hempfield township,26304,78.3,3.3,33.1,0.1,5,0,0.3,2.8,21.700000000000003
East Lampeter township,17776,73.4,5.7,42.7,0.1,4.4,0.1,0.3,2.8,26.599999999999994
East Petersburg borough,4573,79.6,4,36.4,0.1,1.3,0,0.7,3.3,20.400000000000006
Eden township,2239,96,0.2,10.3,0.1,0.2,0,0.3,1.5,4
Elizabeth township,3985,93.3,0.5,20.4,0,0.8,0,0.7,2.2,6.700000000000003
Elizabethtown borough,11639,86.2,2.3,38.9,0.1,1.8,0,0.4,3.4,13.799999999999997
Ephrata borough,13794,84.6,1.3,15.5,0.2,1.2,0,0.3,3.6,15.400000000000006
Ephrata township,10386,88.2,1.7,30.7,0.1,2.2,0,0.2,2.2,11.799999999999997
Fulton township,3214,91.5,1,23,0.1,0.2,0,0.4,2.6,8.5
Lancaster city,58039,39,12.7,31.5,0.1,3.8,0,0.5,3.6,61
Lancaster township,18642,52.4,10.4,36.3,0.2,4.6,0,0.5,3.4,47.6
Leacock township,5652,95.2,0.3,11.6,0.1,0.5,0.1,0.1,1,4.799999999999997
Lititz borough,9381,87.7,1.8,29.8,0,1.7,0,0.4,2.4,12.299999999999997
Little Britain township,4118,92.8,0.8,18.7,0,0.2,0,0.2,1.8,7.200000000000003
Manheim borough,5046,85.1,1.4,17.5,0.2,1.2,0,0.4,3.4,14.900000000000006
Manheim township,43977,76.8,3.6,38.9,0.1,6.8,0,0.4,3,23.200000000000003
Manor township,21849,78.2,3.5,30.9,0.1,3.5,0,0.5,3,21.799999999999997
Marietta borough,2623,87.6,2.5,44.3,0.1,0.3,0,0.2,3.5,12.400000000000006
Martic township,5221,93,0.4,12.5,0.3,0.3,0,0.2,2.8,7
Millersville borough,7903,78.2,5.9,64.8,0.1,3.4,0,0.3,3,21.799999999999997
Mount Joy borough,8325,83.4,2.7,28.1,0.1,1.1,0,0.1,2.9,16.599999999999994
Mount Joy township,10721,89.2,1.3,26.7,0.1,1.4,0,0.3,3,10.799999999999997
Mountville borough,3017,78.4,4.6,44.6,0.4,2.6,0.1,0.5,3,21.599999999999994
New Holland borough,5743,79.5,2.7,25,0.2,2.8,0,0.5,3.3,20.5
Paradise township,5672,90.5,1.6,30.9,0,0.3,0,0,2.2,9.5
Penn township,10210,90.1,1.1,26.9,0,1.7,0.1,0.2,2.5,9.900000000000006
Pequea township,5474,85.4,2.5,32.4,0.1,1,0,0.6,2.8,14.599999999999994
Providence township,6995,92.6,0.7,20.9,0.3,0.1,0,0.1,2.8,7.400000000000006
Quarryville borough,2843,84.4,1.7,18.1,0.1,0.8,0,0.1,3.3,15.599999999999994
Rapho township,12024,92.1,1.2,36.3,0.1,1.3,0,0.3,1.9,7.900000000000006
Sadsbury township,3536,93.7,0.9,40.8,0,0.1,0,0.5,2.7,6.299999999999997
Salisbury township,11494,93,1.1,31.6,0,0.5,0,0.3,1.5,7
Strasburg borough,3117,87.8,1.4,24.9,0,1.4,0,0.3,3.5,12.200000000000003
Strasburg township,4457,94.5,0.4,14.5,0,0.5,0,0.4,1.5,5.5
Terre Hill borough,1357,91.1,1.5,34.5,0.1,0.6,0.1,0.4,2,8.900000000000006
Upper Leacock township,8921,81.5,2.5,24.7,0.1,3.5,0,0.3,2,18.5
Warwick township,19022,90,1.1,25.1,0,1.4,0,0.5,2.5,10
West Cocalico township,7456,93.8,0.8,24.9,0.1,0.5,0,0.2,1.6,6.200000000000003
West Donegal township,8944,92.3,1.2,38.2,0,0.9,0,0.3,2.1,7.700000000000003
West Earl township,8560,88.3,1.1,23.3,0.1,2.5,0,0.2,2.8,11.700000000000003
West Hempfield township,17020,80.7,2.5,24,0.1,2.6,0,0.3,3.2,19.299999999999997
West Lampeter township,17383,89.2,1.3,25.6,0.1,1.6,0,0.3,2.2,10.799999999999997
